OAU State,Official Language,IMF SDRs,Date of Independence,Head of Central Bank,Capital,IMF #Votes,Name of Currency
Algeria,Arabic,914.4,Jul-62,Abdelouahab Keramane,Algiers,"9,394",Dinar
Angola,Portuguese,207.3,Nov-75,Mario de Alcantara Monteiro,Luanda,"2,323",New Kwanza
Benin,French,45.3,Aug-60,Moise Mensah,Porto-Novo,703,CFA franc
Bostwana,English,36.6,Sep-66,Balendzi Gaolathe,Gaborone,616,Pula
Burkina Faso,French,44.2,Aug-60,Tertius Zongo,Ouagadougou,696,CFA franc
Burundi,Rundi/French,57.2,Jul-62,Mathias Sinamenye,Bujumbuna,822,Brundi franc
Cameroon,French/Eng.,135.1,Jan-60,Edouard Akame Mfoumou,Yaounde,1.601,CFA franc
Cape Verde,Portuguese,7,Jul-75,Antonio Gualberto do Rosario,Praia,320,Escudo
Central African Republic,"French, Sango",41.2,Aug-60,Anicet-Georges Dologuele,Bangui,662,CFA franc
Chad,"Arabic, French",41.3,Aug-60,Bichara Cherif Daoussa,N'Ojamena,663,CFA franc
Comoros,Comorian,6.5,Jul-75,Mohamed Ali Soilihi,Moroni,315,Comorian franc
"Congo, Democratic Republic of the",French,291,Aug-60,Vanant,Kinshasa,0,CFA franc
"Congo, Repulic Of",French,57.9,Jun-60,Nguila Moungounga-Nkombo,Brazaville,829,CFA franc
Cote d'Ivoire,French,238.2,Aug-60,N'Goran Niamien,Abidjan,2632,CFA franc
Dijibouti,"Arabic, French",11.5,Jun-77,Djama Mahamoud Haid,Djibouti,365,Djib franc
Egypt,Arabic,678.4,Feb-22,Moheiddin El-Gharib,Cairo,"7,034","Egyptian, Pound"
Equatorial Guinea,Spanish,24.3,Oct-68,Marceli Oyono Ntutumu,Malabo,493,CFA franc
Eritrea,None,11.5,May-93,Tekie Beyene,Asmara,365,Nakfa
Ethiopia,Amharic,98.3,"1,000BC",Dubale Jale,Addis Ababa,"1,233",Birr
Gabon,French,110.3,Aug-60,Marcel Doupamby Matoka,Libreville,"1,242",CFA franc
"Gambia, The",English,22.9,Feb-65,Dominic Mendy,Benjul,479,Dalasi
Ghana,English,274,Mar-57,Kwabena Duffour,Accra,"2,990",Cedi
Guinea,French,78.7,Oct-58,Ibrahima Kassory Fofana,Conakry,"1,037",Guinean franc
Guinea-Bissau,Portuguese,10.5,Sep-74,Issufo Sanha,Bissau,355,Guinea-Bissau peso
Kanya,"Swahili, English",199.4,Dec-63,Musalia Mudavadi,Nairobi,"2,224",Kenya shilling
Lesotho,"Sotho, English",23.9,Oct-66,C.T Thamae,Maseru,489,Malito (Loti)
Liberia,English,71.3,July 1847,Elio E. Saleeby,Monrovia,963,Liberian dollar
Libya,Arabic,817.6,Dec-51,Taher E. Jehaimi,Tripoli,"8,426",Libyan dinar
Madagascar,"Malagasy, French",90.4,Jul-60,Andrianarivo Tantely,Antananarivo,"1,154",Madagasy franc
Malawi,English,50.9,Jul-64,M.A.P. Chikaonda,Lilongwe,759,Malawi Kwacha
Mali,French,68.9,Jul-65,Soumaila Cisse,Bama Ko,939,CFA franc
Mauritania,Arabic,47.5,Nov-60,Mohamedou Ould Michel,Nouakchott,725,Ouguiya
Mauritius,English,73.3,Mar-68,Vasant Kumar Bunwaree,Porto Louis,893,Mouritian rupee
Morocco,Arabic,427.7,Mar-56,Mohamed Seqat,Rabat,"4,527",Morrocan dirham
Mozambique,Portuguese,84,Jun-75,Tomaz Augusto Salomao,Maputo,1090,Metical
Namibia,English,99.6,Mar-90,Nangolo Mbumba,Windhoek,"1,246",Nambian dollar
Niger,French,48.3,Aug-60,Ahmadou Mayaki,Niamey,733,CFA franc
Nigeria,English,"1,281.60",Oct-60,Anthony A. Ani,Lagos,13.006,Nigerian Naira
Rwanda,"Rwanda, French",59.5,Jul-62,Donat Kaberuka,Kagali,845,Rwandan franc
Sao Tome and Principe,Portuguese,5.5,Jul-75,Carlos Quaresma Batista,Sao Tome,305,Dobra
Senegal,French,118.9,Aug-60,Papa Ousmane Sakho,Dakar,"1,439",CFA franc
Seychelles,None,6,Jun-76,James Michel,Victoria,310,Seychelles rupee
Sierra Leone,English,77.2,Aug-60,Thaimu Bangura,Freetown,1022,Leon
Somalia,"Somali, Arabic",44.2,Jul-61,Vacant,Mogadishu,692,Someli Shilling
South Africa,English...,"1,365.40",May-10,Christian Lodewyk Stals,Pretoria,"13,904",Rand
Sudan,Arabic,169.7,Jan-56,Vacant,Khartoum,0,Sudanese dinar
Swaziland,"Swazi, English",36.5,Sep-68,Themba N. Mashuka,Mbabane,615,Lulangeni
Tanzania,"Swahili, English",146.9,Dec-61,Daniel N. Yona,Dar es Salaam,"1,719",Tansanian shilling
Togo,French,54.3,Apr-60,Barry Moussa Barque,Lome,793,CFA franc
Tunisia,Arabic,206,Mar-56,Mohamed El Beji Hamda,Tunis,"2,310",Dinar
Uganda,"Swahili, English",133.9,Oct-62,Jehoash Mayanja-Nkangi,Kampela,"1,589",Uganda shilling
Zambia,English,363.5,Oct-64,Ronald Damson Siame Penza,Lusaka,"3,885",Zambian Kwacha
Zambabwe,English,261.3,Sep-80,Herbert Murerwa,Harare,"2,863",Zambabe dollar
